Mon Mar  7 13:00:26 2022,Tempo: 92,TR: 38.000000
Mon Mar  7 13:00:27 2022,Tempo: 93,TR: 38.000000
Mon Mar  7 13:00:28 2022,Tempo: 94,TR: 38.000000
Mon Mar  7 13:00:29 2022,Tempo: 95,TR: 38.000000
Mon Mar  7 13:00:30 2022,Tempo: 96,TR: 38.000000
Mon Mar  7 13:00:31 2022,Tempo: 97,TR: 38.000000
Mon Mar  7 13:00:32 2022,Tempo: 98,TR: 38.000000
Mon Mar  7 13:00:33 2022,Tempo: 99,TR: 38.000000
Mon Mar  7 13:00:34 2022,Tempo: 100,TR: 38.000000
Mon Mar  7 13:00:35 2022,Tempo: 101,TR: 38.000000
Mon Mar  7 13:00:36 2022,Tempo: 102,TR: 38.000000
Mon Mar  7 13:00:37 2022,Tempo: 103,TR: 38.000000
Mon Mar  7 13:00:38 2022,Tempo: 104,TR: 38.000000
Mon Mar  7 13:00:39 2022,Tempo: 105,TR: 38.000000
Mon Mar  7 13:00:40 2022,Tempo: 106,TR: 38.000000
Mon Mar  7 13:00:41 2022,Tempo: 107,TR: 38.000000
Mon Mar  7 13:00:42 2022,Tempo: 108,TR: 38.000000
Mon Mar  7 13:00:43 2022,Tempo: 109,TR: 38.000000
Mon Mar  7 13:00:44 2022,Tempo: 110,TR: 38.000000
Mon Mar  7 13:00:45 2022,Tempo: 111,TR: 38.000000
Mon Mar  7 13:00:46 2022,Tempo: 112,TR: 38.000000
Mon Mar  7 13:00:47 2022,Tempo: 113,TR: 38.000000
Mon Mar  7 13:00:48 2022,Tempo: 114,TR: 38.000000
Mon Mar  7 13:00:49 2022,Tempo: 115,TR: 38.000000
Mon Mar  7 13:00:50 2022,Tempo: 116,TR: 38.000000
Mon Mar  7 13:00:51 2022,Tempo: 117,TR: 38.000000
Mon Mar  7 13:00:52 2022,Tempo: 118,TR: 38.000000
Mon Mar  7 13:00:53 2022,Tempo: 119,TR: 38.000000
Mon Mar  7 13:00:54 2022,Tempo: 120,TR: 38.000000
Mon Mar  7 13:00:55 2022,Tempo: 121,TR: 38.000000
Mon Mar  7 13:00:56 2022,Tempo: 122,TR: 46.000000
Mon Mar  7 13:00:57 2022,Tempo: 123,TR: 46.000000
Mon Mar  7 13:00:58 2022,Tempo: 124,TR: 46.000000
Mon Mar  7 13:00:59 2022,Tempo: 125,TR: 46.000000
Mon Mar  7 13:01:00 2022,Tempo: 126,TR: 46.000000
Mon Mar  7 13:01:01 2022,Tempo: 127,TR: 46.000000
Mon Mar  7 13:01:02 2022,Tempo: 128,TR: 46.000000
Mon Mar  7 13:01:03 2022,Tempo: 129,TR: 46.000000
Mon Mar  7 13:01:04 2022,Tempo: 130,TR: 46.000000
Mon Mar  7 13:01:05 2022,Tempo: 131,TR: 46.000000
Mon Mar  7 13:01:06 2022,Tempo: 132,TR: 46.000000
Mon Mar  7 13:01:07 2022,Tempo: 133,TR: 46.000000
